sr_no,admission_no,pen_no,name,roll_no,class,class_name,section,class_sec,father_name,mother_name,guardian_name,mobile,contact,contact_phone,address,gender,dob,category,house,transport_opted,uses_transport,bus_route,total_fee,paid_fee,balance_fee,fees_due,status
"SR-2024-1163","ADM-5163","PEN-RJ-2024-648089","Rukmani Agarwal","23","UKG","UKG","B","UKG - B","Khimraj Agarwal","Santosh","Khimraj Agarwal","9829278835","9829278835","9829278835","Kalyanpura, Barmer","Female","2020-12-04","SC","Shivaji",true,true,"Route 5 (Chohtan Circle - Tilak Nagar)",36000,36000,0,0,"Active"
"SR-2024-1164","ADM-5164","PEN-RJ-2024-121637","Govind Rathore","24","UKG","UKG","B","UKG - B","Rajesh Rathore","Anand Kanwar","Rajesh Rathore","9829979471","9829979471","9829979471","Shastri Nagar, Sector 2, Barmer","Male","2020-06-05","OBC","Tagore",false,false,"",24000,24000,0,0,"Active"
"SR-2024-1165","ADM-5165","PEN-RJ-2024-951852","Pradeep Raika","25","UKG","UKG","B","UKG - B","Mohan Lal Raika","Pushpa Devi","Mohan Lal Raika","9414391468","9414391468","9414391468","Chohtan Circle, Highway Link, Barmer","Male","2020-12-17","ST","Ashoka",true,true,"Route 3 (Station Road - Sadar Bazaar)",36000,36000,0,0,"Active"
"SR-2024-1166","ADM-5166","PEN-RJ-2024-751884","Mahendra Goyal","26","UKG","UKG","B","UKG - B","Jabbar Singh Goyal","Geeta Devi","Jabbar Singh Goyal","9829573284","9829573284","9829573284","Uttarlai Road, Near KV School, Barmer","Male","2020-09-14","General","Shivaji",false,false,"",24000,18000,6000,6000,"Active"
"SR-2024-1167","ADM-5167","PEN-RJ-2024-883548","Anil Goyal","27","UKG","UKG","B","UKG - B","Bhagwan Das Goyal","Rukmani Devi","Bhagwan Das Goyal","9828817420","9828817420","9828817420","Kalyanpura, Barmer","Male","2020-08-16","ST","Ashoka",false,false,"",24000,9500,14500,14500,"Active"
"SR-2024-1168","ADM-5168","PEN-RJ-2024-778923","Dinesh Rajput","28","UKG","UKG","B","UKG - B","Dinesh Rajput","Sayar Kanwar","Dinesh Rajput","9828553420","9828553420","9828553420","Tilak Nagar, Barmer","Male","2020-09-27","ST","Ashoka",true,true,"Route 1 (Baldev Nagar - Ratan Singh Circle)",36000,36000,0,0,"Active"
"SR-2024-1169","ADM-5169","PEN-RJ-2024-106621","Gopal Maheshwari","29","UKG","UKG","B","UKG - B","Prem Singh Maheshwari","Sita Devi","Prem Singh Maheshwari","9460617708","9460617708","9460617708","Jasol Road, Balotra Highway, Barmer","Male","2020-06-24","General","Raman",false,false,"",24000,9500,14500,14500,"Active"
"SR-2024-1170","ADM-5170","PEN-RJ-2024-849783","Kailash Trivedi","30","UKG","UKG","B","UKG - B","Shaitan Singh Trivedi","Durga Devi","Shaitan Singh Trivedi","9828910189","9828910189","9828910189","Ramsar Road, Barmer","Male","2020-11-20","General","Tagore",false,false,"",24000,0,24000,24000,"Active"
"SR-2024-1171","ADM-5171","PEN-RJ-2024-291801","Ahana Jain","31","UKG","UKG","B","UKG - B","Rikhabdas Jain","Sunita","Rikhabdas Jain","9828471737","9828471737","9828471737","Jasol Road, Balotra Highway, Barmer","Female","2020-10-24","SC","Tagore",false,false,"",24000,0,24000,24000,"Active"
"SR-2024-1172","ADM-5172","PEN-RJ-2024-980952","Ratan Purohit","32","UKG","UKG","B","UKG - B","Rajesh Purohit","Savitri Devi","Rajesh Purohit","9414141767","9414141767","9414141767","Nehru Nagar, Main Road, Barmer","Male","2020-09-20","SC","Shivaji",false,false,"",24000,12000,12000,12000,"Active"
"SR-2024-1173","ADM-5173","PEN-RJ-2024-809081","Swati Soni","33","UKG","UKG","B","UKG - B","Shaitan Singh Soni","Anita","Shaitan Singh Soni","9414123408","9414123408","9414123408","Kalyanpura, Barmer","Female","2020-02-03","SC","Tagore",false,false,"",24000,14500,9500,9500,"Active"
"SR-2024-1174","ADM-5174","PEN-RJ-2024-300082","Sushila Meghwal","34","UKG","UKG","B","UKG - B","Ramesh Chand Meghwal","Urmila","Ramesh Chand Meghwal","8769221586","8769221586","8769221586","Baldev Nagar, Near Ratan Singh Circle, Barmer","Female","2020-04-10","SC","Raman",false,false,"",24000,9500,14500,14500,"Active"
"SR-2024-1175","ADM-5175","PEN-RJ-2024-374248","Pratap Gupta","35","UKG","UKG","B","UKG - B","Sumer Singh Gupta","Nirmala","Sumer Singh Gupta","9784221789","9784221789","9784221789","Indira Colony, Lane 4, Barmer","Male","2020-02-10","ST","Tagore",false,false,"",24000,18000,6000,6000,"Active"
"SR-2024-1176","ADM-5176","PEN-RJ-2024-713276","Gopal Trivedi","01","1st","1st","A","1st - A","Mohan Lal Trivedi","Sharda","Mohan Lal Trivedi","9828980786","9828980786","9828980786","Tilak Nagar, Barmer","Male","2019-03-09","ST","Ashoka",false,false,"",30000,0,30000,30000,"Active"
"SR-2024-1177","ADM-5177","PEN-RJ-2024-281654","Swati Mittal","02","1st","1st","A","1st - A","Tarachand Mittal","Chandra Kanwar","Tarachand Mittal","9829781743","9829781743","9829781743","Shastri Nagar, Sector 2, Barmer","Female","2019-05-22","General","Ashoka",false,false,"",30000,30000,0,0,"Active"
"SR-2024-1178","ADM-5178","PEN-RJ-2024-434464","Prem Verma","03","1st","1st","A","1st - A","Rikhabdas Verma","Santosh","Rikhabdas Verma","8769164165","8769164165","8769164165","Sindhari Road, Near Bus Stand, Barmer","Male","2019-05-15","SC","Tagore",false,false,"",30000,22500,7500,7500,"Active"
"SR-2024-1179","ADM-5179","PEN-RJ-2024-621441","Sonam Sharma","04","1st","1st","A","1st - A","Nemichand Sharma","Gulab Kanwar","Nemichand Sharma","9829853215","9829853215","9829853215","Ramsar Road, Barmer","Female","2019-06-13","OBC","Raman",false,false,"",30000,30000,0,0,"Active"
"SR-2024-1180","ADM-5180","PEN-RJ-2024-936465","Jitendra Panwar","05","1st","1st","A","1st - A","Rajesh Panwar","Durga Devi","Rajesh Panwar","8769420563","8769420563","8769420563","Rai Colony, Near Water Tank, Barmer","Male","2019-04-08","General","Raman",true,true,"Route 3 (Station Road - Sadar Bazaar)",42000,25000,17000,17000,"Active"
"SR-2024-1181","ADM-5181","PEN-RJ-2024-324517","Mahesh Sharma","06","1st","1st","A","1st - A","Bhawani Singh Sharma","Sharda","Bhawani Singh Sharma","9828351683","9828351683","9828351683","Sindhari Road, Near Bus Stand, Barmer","Male","2019-12-24","SC","Ashoka",false,false,"",30000,0,30000,30000,"Active"
"SR-2024-1182","ADM-5182","PEN-RJ-2024-156312","Jaipal Trivedi","07","1st","1st","A","1st - A","Chhagan Lal Trivedi","Anita","Chhagan Lal Trivedi","8769537149","8769537149","8769537149","Sadar Bazaar, Near Old Fort, Barmer","Male","2019-05-02","ST","Ashoka",false,false,"",30000,30000,0,0,"Active"
"SR-2024-1183","ADM-5183","PEN-RJ-2024-797393","Rohit Purohit","08","1st","1st","A","1st - A","Mohan Lal Purohit","Laxmi Devi","Mohan Lal Purohit","8769795954","8769795954","8769795954","Rai Colony, Near Water Tank, Barmer","Male","2019-02-01","SC","Raman",false,false,"",30000,30000,0,0,"Active"
"SR-2024-1184","ADM-5184","PEN-RJ-2024-439258","Digvijay Bansal","09","1st","1st","A","1st - A","Pabu Ram Bansal","Prem Kanwar","Pabu Ram Bansal","9414554267","9414554267","9414554267","Uttarlai Road, Near KV School, Barmer","Male","2019-06-20","General","Ashoka",false,false,"",30000,0,30000,30000,"Active"
"SR-2024-1185","ADM-5185","PEN-RJ-2024-927827","Bhanwar Gaur","10","1st","1st","A","1st - A","Ram Chandra Gaur","Sushila","Ram Chandra Gaur","9829411985","9829411985","9829411985","Ramsar Road, Barmer","Male","2019-04-10","SC","Ashoka",false,false,"",30000,12000,18000,18000,"Active"
"SR-2024-1186","ADM-5186","PEN-RJ-2024-311169","Sumer Dadhich","11","1st","1st","A","1st - A","Sumer Singh Dadhich","Manju","Sumer Singh Dadhich","9414859117","9414859117","9414859117","Khatan Kocha, Inside City, Barmer","Male","2019-07-09","OBC","Tagore",false,false,"",30000,18000,12000,12000,"Active"
"SR-2024-1187","ADM-5187","PEN-RJ-2024-500708","Mandeep Parihar","12","1st","1st","A","1st - A","Rikhabdas Parihar","Urmila","Rikhabdas Parihar","9828164688","9828164688","9828164688","Khatan Kocha, Inside City, Barmer","Male","2019-12-03","ST","Shivaji",false,false,"",30000,30000,0,0,"Active"
"SR-2024-1188","ADM-5188","PEN-RJ-2024-421745","Arjun Mittal","13","1st","1st","A","1st - A","Sawai Singh Mittal","Anand Kanwar","Sawai Singh Mittal","9460833097","9460833097","9460833097","Jasol Road, Balotra Highway, Barmer","Male","2019-07-16","General","Shivaji",false,false,"",30000,12000,18000,18000,"Active"
"SR-2024-1189","ADM-5189","PEN-RJ-2024-352430","Jagdish Chauhan","14","1st","1st","A","1st - A","Dinesh Chauhan","Manju","Dinesh Chauhan","9784384637","9784384637","9784384637","Station Road, Near Soni Dharmshala, Barmer","Male","2019-03-16","SC","Tagore",false,false,"",30000,15000,15000,15000,"Active"
"SR-2024-1190","ADM-5190","PEN-RJ-2024-361907","Hanuman Purohit","15","1st","1st","A","1st - A","Loonkaran Purohit","Sushila","Loonkaran Purohit","9828398522","9828398522","9828398522","Nehru Nagar, Main Road, Barmer","Male","2019-10-21","General","Tagore",false,false,"",30000,30000,0,0,"Active"
"SR-2024-1191","ADM-5191","PEN-RJ-2024-815695","Aditya Lohar","16","1st","1st","A","1st - A","Ramesh Chand Lohar","Mohan Kanwar","Ramesh Chand Lohar","9784263161","9784263161","9784263161","Shastri Nagar, Sector 2, Barmer","Male","2019-02-15","SC","Ashoka",false,false,"",30000,22500,7500,7500,"Active"
"SR-2024-1192","ADM-5192","PEN-RJ-2024-800425","Aayush Solanki","17","1st","1st","A","1st - A","Manak Chand Solanki","Sugan Kanwar","Manak Chand Solanki","9414925478","9414925478","9414925478","Khatan Kocha, Inside City, Barmer","Male","2019-04-21","ST","Raman",false,false,"",30000,15000,15000,15000,"Active"
"SR-2024-1193","ADM-5193","PEN-RJ-2024-923318","Sheetal Panwar","18","1st","1st","A","1st - A","Mohan Lal Panwar","Anand Kanwar","Mohan Lal Panwar","9784895979","9784895979","9784895979","Panch Batti Circle, Barmer","Female","2019-12-09","OBC","Ashoka",false,false,"",30000,30000,0,0,"Active"
"SR-2024-1194","ADM-5194","PEN-RJ-2024-842287","Karan Soni","19","1st","1st","A","1st - A","Bhawani Singh Soni","Sunita","Bhawani Singh Soni","9460927840","9460927840","9460927840","Tilak Nagar, Barmer","Male","2019-09-21","General","Shivaji",false,false,"",30000,0,30000,30000,"Active"
"SR-2024-1195","ADM-5195","PEN-RJ-2024-363442","Hanuman Kumhar","20","1st","1st","A","1st - A","Loonkaran Kumhar","Durga Devi","Loonkaran Kumhar","9460456686","9460456686","9460456686","Station Road, Near Soni Dharmshala, Barmer","Male","2019-11-28","ST","Ashoka",false,false,"",30000,0,30000,30000,"Active"
"SR-2024-1196","ADM-5196","PEN-RJ-2024-207630","Ira Mathur","21","1st","1st","A","1st - A","Sawai Singh Mathur","Sharda","Sawai Singh Mathur","9414191011","9414191011","9414191011","Rai Colony, Near Water Tank, Barmer","Female","2019-07-07","General","Ashoka",false,false,"",30000,30000,0,0,"Active"
"SR-2024-1197","ADM-5197","PEN-RJ-2024-660085","Hardeep Soni","22","1st","1st","A","1st - A","Rikhabdas Soni","Prem Kanwar","Rikhabdas Soni","9828944586","9828944586","9828944586","Khatan Kocha, Inside City, Barmer","Male","2019-07-26","SC","Ashoka",true,true,"Route 8 (Rai Colony - Civil Lines)",42000,42000,0,0,"Active"
"SR-2024-1198","ADM-5198","PEN-RJ-2024-762884","Sonal Bhati","23","1st","1st","A","1st - A","Mangi Lal Bhati","Shanti Devi","Mangi Lal Bhati","9414331032","9414331032","9414331032","Sindhari Road, Near Bus Stand, Barmer","Female","2019-08-19","General","Raman",false,false,"",30000,30000,0,0,"Active"
"SR-2024-1199","ADM-5199","PEN-RJ-2024-282793","Jaideep Rajput","24","1st","1st","A","1st - A","Jagdish Prasad Rajput","Prem Kanwar","Jagdish Prasad Rajput","9829653267","9829653267","9829653267","Plot 42, Civil Lines, Barmer","Male","2019-11-24","OBC","Tagore",false,false,"",30000,0,30000,30000,"Active"
"SR-2024-1200","ADM-5200","PEN-RJ-2024-761000","Priyanka Raika","25","1st","1st","A","1st - A","Ram Chandra Raika","Parvati Devi","Ram Chandra Raika","8769676306","8769676306","8769676306","Uttarlai Road, Near KV School, Barmer","Female","2019-09-09","General","Shivaji",false,false,"",30000,30000,0,0,"Active"
"SR-2024-1201","ADM-5201","PEN-RJ-2024-262646","Chhagan Vyas","26","1st","1st","A","1st - A","Mohan Lal Vyas","Prem Kanwar","Mohan Lal Vyas","9784924563","9784924563","9784924563","Uttarlai Road, Near KV School, Barmer","Male","2019-12-03","ST","Tagore",true,true,"Route 5 (Chohtan Circle - Tilak Nagar)",42000,42000,0,0,"Active"
"SR-2024-1202","ADM-5202","PEN-RJ-2024-199743","Bhawani Meena","27","1st","1st","A","1st - A","Narpat Singh Meena","Anand Kanwar","Narpat Singh Meena","9784794209","9784794209","9784794209","Panch Batti Circle, Barmer","Male","2019-01-12","OBC","Tagore",false,false,"",30000,18000,12000,12000,"Active"
"SR-2024-1203","ADM-5203","PEN-RJ-2024-265991","Aarti Dadhich","28","1st","1st","A","1st - A","Mangi Lal Dadhich","Urmila","Mangi Lal Dadhich","9784831319","9784831319","9784831319","Baldev Nagar, Near Ratan Singh Circle, Barmer","Female","2019-06-26","SC","Ashoka",false,false,"",30000,18000,12000,12000,"Active"
"SR-2024-1204","ADM-5204","PEN-RJ-2024-859376","Renu Lohar","29","1st","1st","A","1st - A","Jagdish Prasad Lohar","Kamla Devi","Jagdish Prasad Lohar","9460729630","9460729630","9460729630","Uttarlai Road, Near KV School, Barmer","Female","2019-08-07","SC","Tagore",true,true,"Route 1 (Baldev Nagar - Ratan Singh Circle)",42000,0,42000,42000,"Active"
"SR-2024-1205","ADM-5205","PEN-RJ-2024-894901","Anil Sharma","30","1st","1st","A","1st - A","Kalyan Singh Sharma","Chandra Kanwar","Kalyan Singh Sharma","9828876797","9828876797","9828876797","Laxmi Nagar, Street 3, Barmer","Male","2019-10-17","SC","Tagore",true,true,"Route 8 (Rai Colony - Civil Lines)",42000,42000,0,0,"Active"
"SR-2024-1206","ADM-5206","PEN-RJ-2024-346906","Myra Soni","31","1st","1st","A","1st - A","Surendra Soni","Chandra Kanwar","Surendra Soni","9828644423","9828644423","9828644423","Baldev Nagar, Near Ratan Singh Circle, Barmer","Female","2019-09-24","General","Tagore",false,false,"",30000,15000,15000,15000,"Active"
"SR-2024-1207","ADM-5207","PEN-RJ-2024-206730","Swati Verma","32","1st","1st","A","1st - A","Rajesh Verma","Santosh","Rajesh Verma","9828549846","9828549846","9828549846","Laxmi Nagar, Street 3, Barmer","Female","2019-06-10","SC","Shivaji",false,false,"",30000,0,30000,30000,"Active"
"SR-2024-1208","ADM-5208","PEN-RJ-2024-593405","Krishna Gupta","33","1st","1st","A","1st - A","Ashok Gupta","Rukmani Devi","Ashok Gupta","9828728590","9828728590","9828728590","Sadar Bazaar, Near Old Fort, Barmer","Male","2019-08-10","ST","Shivaji",false,false,"",30000,30000,0,0,"Active"
"SR-2024-1209","ADM-5209","PEN-RJ-2024-523937","Amar Choudhary","34","1st","1st","A","1st - A","Suresh Choudhary","Santosh","Suresh Choudhary","9828281813","9828281813","9828281813","Uttarlai Road, Near KV School, Barmer","Male","2019-12-21","General","Raman",false,false,"",30000,18000,12000,12000,"Active"
"SR-2024-1210","ADM-5210","PEN-RJ-2024-565032","Aarti Goyal","35","1st","1st","A","1st - A","Jethmal Goyal","Santosh","Jethmal Goyal","9460609371","9460609371","9460609371","Baytu Link Road, Barmer","Female","2019-10-19","ST","Ashoka",false,false,"",30000,30000,0,0,"Active"
"SR-2024-1211","ADM-5211","PEN-RJ-2024-395419","Anil Purohit","36","1st","1st","A","1st - A","Pabu Ram Purohit","Meenakshi","Pabu Ram Purohit","9460731366","9460731366","9460731366","Khatan Kocha, Inside City, Barmer","Male","2019-08-24","General","Shivaji",false,false,"",30000,30000,0,0,"Active"
"SR-2024-1212","ADM-5212","PEN-RJ-2024-856527","Rahul Agarwal","37","1st","1st","A","1st - A","Parasmal Agarwal","Rekha","Parasmal Agarwal","9414686873","9414686873","9414686873","Baldev Nagar, Near Ratan Singh Circle, Barmer","Male","2019-12-02","SC","Tagore",false,false,"",30000,0,30000,30000,"Active"
"SR-2024-1213","ADM-5213","PEN-RJ-2024-799635","Manju Lohar","38","1st","1st","A","1st - A","Bhanwar Singh Lohar","Manju","Bhanwar Singh Lohar","9414345754","9414345754","9414345754","Station Road, Near Soni Dharmshala, Barmer","Female","2019-06-12","SC","Ashoka",false,false,"",30000,0,30000,30000,"Active"
"SR-2024-1214","ADM-5214","PEN-RJ-2024-794271","Vivaan Agarwal","01","1st","1st","B","1st - B","Dinesh Agarwal","Parvati Devi","Dinesh Agarwal","9784371201","9784371201","9784371201","Baldev Nagar, Near Ratan Singh Circle, Barmer","Male","2019-11-18","OBC","Tagore",false,false,"",30000,0,30000,30000,"Active"
"SR-2024-1215","ADM-5215","PEN-RJ-2024-345202","Muhammad Dadhich","02","1st","1st","B","1st - B","Hanuman Ram Dadhich","Kamla Devi","Hanuman Ram Dadhich","9784259917","9784259917","9784259917","Panch Batti Circle, Barmer","Male","2019-01-11","SC","Shivaji",false,false,"",30000,30000,0,0,"Active"
"SR-2024-1216","ADM-5216","PEN-RJ-2024-588086","Kunal Bishnoi","03","1st","1st","B","1st - B","Surendra Bishnoi","Chandra Kanwar","Surendra Bishnoi","9784815835","9784815835","9784815835","Sadar Bazaar, Near Old Fort, Barmer","Male","2019-04-25","SC","Ashoka",false,false,"",30000,0,30000,30000,"Active"
"SR-2024-1217","ADM-5217","PEN-RJ-2024-915859","Manvendra Bishnoi","04","1st","1st","B","1st - B","Ram Chandra Bishnoi","Urmila","Ram Chandra Bishnoi","9828986179","9828986179","9828986179","Khatan Kocha, Inside City, Barmer","Male","2019-03-03","General","Ashoka",false,false,"",30000,18000,12000,12000,"Active"
"SR-2024-1218","ADM-5218","PEN-RJ-2024-327999","Parvati Panwar","05","1st","1st","B","1st - B","Ramesh Chand Panwar","Mohan Kanwar","Ramesh Chand Panwar","9828301912","9828301912","9828301912","Sadar Bazaar, Near Old Fort, Barmer","Female","2019-07-10","ST","Ashoka",false,false,"",30000,22500,7500,7500,"Active"
"SR-2024-1219","ADM-5219","PEN-RJ-2024-727053","Anvi Sharma","06","1st","1st","B","1st - B","Ramesh Chand Sharma","Sushila","Ramesh Chand Sharma","8769250646","8769250646","8769250646","Nehru Nagar, Main Road, Barmer","Female","2019-05-13","General","Raman",true,true,"Route 7 (Sindhari Road - Kalyanpura)",42000,42000,0,0,"Active"
"SR-2024-1220","ADM-5220","PEN-RJ-2024-981571","Barkha Dadhich","07","1st","1st","B","1st - B","Jethmal Dadhich","Kanta Devi","Jethmal Dadhich","9828623332","9828623332","9828623332","Tilak Nagar, Barmer","Female","2019-12-07","ST","Tagore",false,false,"",30000,30000,0,0,"Active"
"SR-2024-1221","ADM-5221","PEN-RJ-2024-484756","Jitendra Gaur","08","1st","1st","B","1st - B","Shaitan Singh Gaur","Kanta Devi","Shaitan Singh Gaur","9829877043","9829877043","9829877043","Baytu Link Road, Barmer","Male","2019-04-01","General","Tagore",true,true,"Route 5 (Chohtan Circle - Tilak Nagar)",42000,42000,0,0,"Active"
"SR-2024-1222","ADM-5222","PEN-RJ-2024-884832","Virendra Parihar","09","1st","1st","B","1st - B","Vimalchand Parihar","Meenakshi","Vimalchand Parihar","9414368512","9414368512","9414368512","Nehru Nagar, Main Road, Barmer","Male","2019-01-24","SC","Ashoka",false,false,"",30000,30000,0,0,"Active"
"SR-2024-1223","ADM-5223","PEN-RJ-2024-501730","Radha Dave","10","1st","1st","B","1st - B","Sumer Singh Dave","Pooja","Sumer Singh Dave","9460383700","9460383700","9460383700","Jasol Road, Balotra Highway, Barmer","Female","2019-12-20","SC","Ashoka",true,true,"Route 5 (Chohtan Circle - Tilak Nagar)",42000,42000,0,0,"Active"
"SR-2024-1224","ADM-5224","PEN-RJ-2024-625380","Santosh Dave","11","1st","1st","B","1st - B","Khimraj Dave","Savitri Devi","Khimraj Dave","9414950196","9414950196","9414950196","Panch Batti Circle, Barmer","Female","2019-04-10","SC","Raman",false,false,"",30000,30000,0,0,"Active"
"SR-2024-1225","ADM-5225","PEN-RJ-2024-832819","Kamlesh Raika","12","1st","1st","B","1st - B","Bhawani Singh Raika","Shanti Devi","Bhawani Singh Raika","8769212131","8769212131","8769212131","Indira Colony, Lane 4, Barmer","Male","2019-07-15","SC","Shivaji",true,true,"Route 5 (Chohtan Circle - Tilak Nagar)",42000,42000,0,0,"Active"
"SR-2024-1226","ADM-5226","PEN-RJ-2024-574695","Amar Dewasi","13","1st","1st","B","1st - B","Jagdish Prasad Dewasi","Savitri Devi","Jagdish Prasad Dewasi","9460808892","9460808892","9460808892","Sadar Bazaar, Near Old Fort, Barmer","Male","2019-09-23","ST","Shivaji",false,false,"",30000,30000,0,0,"Active"
"SR-2024-1227","ADM-5227","PEN-RJ-2024-450764","Chhavi Jangid","14","1st","1st","B","1st - B","Roopa Ram Jangid","Pooja","Roopa Ram Jangid","9829550177","9829550177","9829550177","Baytu Link Road, Barmer","Female","2019-11-19","SC","Ashoka",false,false,"",30000,0,30000,30000,"Active"
"SR-2024-1228","ADM-5228","PEN-RJ-2024-861463","Aadhya Meghwal","15","1st","1st","B","1st - B","Teja Ram Meghwal","Pooja","Teja Ram Meghwal","9784663914","9784663914","9784663914","Opp. Collectorate, Mahaveer Nagar, Barmer","Female","2019-07-13","OBC","Shivaji",false,false,"",30000,12000,18000,18000,"Active"
"SR-2024-1229","ADM-5229","PEN-RJ-2024-739351","Ritu Joshi","16","1st","1st","B","1st - B","Uttamchand Joshi","Anita","Uttamchand Joshi","9460309989","9460309989","9460309989","Panch Batti Circle, Barmer","Female","2019-01-04","OBC","Shivaji",false,false,"",30000,18000,12000,12000,"Active"
"SR-2024-1230","ADM-5230","PEN-RJ-2024-909695","Vihaan Gupta","17","1st","1st","B","1st - B","Jabbar Singh Gupta","Manju","Jabbar Singh Gupta","9829567978","9829567978","9829567978","Rai Colony, Near Water Tank, Barmer","Male","2019-04-16","OBC","Shivaji",true,true,"Route 3 (Station Road - Sadar Bazaar)",42000,42000,0,0,"Active"
"SR-2024-1231","ADM-5231","PEN-RJ-2024-222257","Aadhya Shekhawat","18","1st","1st","B","1st - B","Jabbar Singh Shekhawat","Sushila","Jabbar Singh Shekhawat","8769923108","8769923108","8769923108","Plot 42, Civil Lines, Barmer","Female","2019-01-07","OBC","Shivaji",true,true,"Route 6 (Uttarlai Road - Airforce Area)",42000,25000,17000,17000,"Active"
"SR-2024-1232","ADM-5232","PEN-RJ-2024-425876","Savitri Bishnoi","19","1st","1st","B","1st - B","Mangi Lal Bishnoi","Sushila","Mangi Lal Bishnoi","8769666633","8769666633","8769666633","Opp. Collectorate, Mahaveer Nagar, Barmer","Female","2019-05-11","ST","Shivaji",false,false,"",30000,0,30000,30000,"Active"
"SR-2024-1233","ADM-5233","PEN-RJ-2024-466848","Bhawani Dadhich","20","1st","1st","B","1st - B","Jabbar Singh Dadhich","Meenakshi","Jabbar Singh Dadhich","9829798099","9829798099","9829798099","Opp. Collectorate, Mahaveer Nagar, Barmer","Male","2019-12-02","OBC","Tagore",false,false,"",30000,12000,18000,18000,"Active"
"SR-2024-1234","ADM-5234","PEN-RJ-2024-230379","Mahesh Mathur","21","1st","1st","B","1st - B","Ramesh Chand Mathur","Sushila","Ramesh Chand Mathur","8769252368","8769252368","8769252368","Shastri Nagar, Sector 2, Barmer","Male","2019-06-06","ST","Ashoka",false,false,"",30000,30000,0,0,"Active"
"SR-2024-1235","ADM-5235","PEN-RJ-2024-456309","Gayatri Lohar","22","1st","1st","B","1st - B","Tarachand Lohar","Laxmi Devi","Tarachand Lohar","8769380377","8769380377","8769380377","Kalyanpura, Barmer","Female","2019-11-18","OBC","Tagore",true,true,"Route 8 (Rai Colony - Civil Lines)",42000,0,42000,42000,"Active"
"SR-2024-1236","ADM-5236","PEN-RJ-2024-574388","Rakesh Bishnoi","23","1st","1st","B","1st - B","Rikhabdas Bishnoi","Geeta Devi","Rikhabdas Bishnoi","8769756500","8769756500","8769756500","Uttarlai Road, Near KV School, Barmer","Male","2019-12-10","SC","Ashoka",false,false,"",30000,0,30000,30000,"Active"
"SR-2024-1237","ADM-5237","PEN-RJ-2024-595181","Virendra Mittal","24","1st","1st","B","1st - B","Chhagan Lal Mittal","Bhanwar Kanwar","Chhagan Lal Mittal","9828395567","9828395567","9828395567","Station Road, Near Soni Dharmshala, Barmer","Male","2019-03-12","ST","Tagore",true,true,"Route 6 (Uttarlai Road - Airforce Area)",42000,25000,17000,17000,"Active"
"SR-2024-1238","ADM-5238","PEN-RJ-2024-441430","Paras Dave","25","1st","1st","B","1st - B","Hanuman Ram Dave","Bhanwar Kanwar","Hanuman Ram Dave","9414219731","9414219731","9414219731","Rai Colony, Near Water Tank, Barmer","Male","2019-10-03","OBC","Shivaji",false,false,"",30000,15000,15000,15000,"Active"
"SR-2024-1239","ADM-5239","PEN-RJ-2024-957694","Sanjay Shekhawat","26","1st","1st","B","1st - B","Tarachand Shekhawat","Savitri Devi","Tarachand Shekhawat","9829939111","9829939111","9829939111","Sadar Bazaar, Near Old Fort, Barmer","Male","2019-11-27","ST","Ashoka",false,false,"",30000,22500,7500,7500,"Active"
"SR-2024-1240","ADM-5240","PEN-RJ-2024-383955","Aarohi Dave","27","1st","1st","B","1st - B","Rikhabdas Dave","Savitri Devi","Rikhabdas Dave","9828967220","9828967220","9828967220","Baytu Link Road, Barmer","Female","2019-10-23","SC","Tagore",false,false,"",30000,18000,12000,12000,"Active"
"SR-2024-1241","ADM-5241","PEN-RJ-2024-227614","Manish Vyas","28","1st","1st","B","1st - B","Jethmal Vyas","Meenakshi","Jethmal Vyas","9829644112","9829644112","9829644112","Chohtan Circle, Highway Link, Barmer","Male","2019-10-07","OBC","Shivaji",true,true,"Route 1 (Baldev Nagar - Ratan Singh Circle)",42000,42000,0,0,"Active"
"SR-2024-1242","ADM-5242","PEN-RJ-2024-586502","Sawai Gupta","29","1st","1st","B","1st - B","Bhawani Singh Gupta","Prem Kanwar","Bhawani Singh Gupta","9460416663","9460416663","9460416663","Uttarlai Road, Near KV School, Barmer","Male","2019-02-13","SC","Raman",false,false,"",30000,0,30000,30000,"Active"
"SR-2024-1243","ADM-5243","PEN-RJ-2024-143082","Meena Charan","30","1st","1st","B","1st - B","Kalyan Singh Charan","Geeta Devi","Kalyan Singh Charan","9414393952","9414393952","9414393952","Tilak Nagar, Barmer","Female","2019-10-18","General","Tagore",false,false,"",30000,22500,7500,7500,"Active"
"SR-2024-1244","ADM-5244","PEN-RJ-2024-437512","Sharda Garg","31","1st","1st","B","1st - B","Ramesh Chand Garg","Laxmi Devi","Ramesh Chand Garg","8769755822","8769755822","8769755822","Sadar Bazaar, Near Old Fort, Barmer","Female","2019-10-04","ST","Shivaji",true,true,"Route 4 (Mahaveer Nagar - Collectorate)",42000,42000,0,0,"Active"
"SR-2024-1245","ADM-5245","PEN-RJ-2024-604197","Deepak Dave","32","1st","1st","B","1st - B","Prem Singh Dave","Rekha","Prem Singh Dave","9460160859","9460160859","9460160859","Tilak Nagar, Barmer","Male","2019-04-21","ST","Shivaji",false,false,"",30000,30000,0,0,"Active"
